"Fecha","Cierre","Apertura","Maximo","Minimo","Vol.","% var."
"20.05.2025","179.100","181.760","182.970","179.070","192.00K","0.32%"
"19.05.2025","178.520","177.150","182.230","176.630","240.59K","0.10%"
"16.05.2025","178.350","182.000","182.000","176.200","176.03K","-1.75%"
"15.05.2025","181.530","172.850","184.480","172.850","980.57K","4.66%"
"14.05.2025","173.440","176.000","176.610","172.950","476.68K","-1.44%"
"13.05.2025","175.980","177.060","180.790","175.330","288.17K","-1.20%"
"12.05.2025","178.110","175.570","179.530","172.830","203.42K","1.45%"
"09.05.2025","175.570","172.810","177.000","172.810","106.55K","1.11%"
"08.05.2025","173.640","173.370","176.420","172.000","307.26K","0.20%"
"07.05.2025","173.290","169.070","174.380","169.070","346.51K","1.70%"
"06.05.2025","170.400","168.750","172.650","168.660","369.49K","0.99%"
"05.05.2025","168.730","167.000","170.130","165.570","189.29K","0.39%"
"02.05.2025","168.070","170.480","170.480","167.340","229.61K","2.20%"
"30.04.2025","164.450","166.010","167.590","164.200","556.34K","-1.74%"
"29.04.2025","167.370","173.860","175.550","165.620","819.31K","-4.03%"
"28.04.2025","174.390","174.520","177.020","172.490","223.43K","0.42%"
"25.04.2025","173.660","167.100","176.990","167.100","298.35K","4.94%"
"24.04.2025","165.480","168.840","171.540","162.500","964.87K","-1.79%"
"23.04.2025","168.500","173.980","177.490","167.610","972.55K","-1.38%"
"22.04.2025","170.850","168.360","173.500","168.360","313.24K","1.85%"
"21.04.2025","167.740","167.000","169.840","162.670","440.11K","-0.83%"
"16.04.2025","169.140","166.340","171.980","158.010","715.04K","1.31%"
"15.04.2025","166.960","176.420","176.420","166.050","412.66K","-4.92%"
"14.04.2025","175.600","173.470","179.990","172.810","270.01K","1.81%"
"11.04.2025","172.480","170.010","174.930","168.540","366.20K","2.07%"
"10.04.2025","168.980","180.130","180.140","167.040","1.19M","-7.67%"
"09.04.2025","183.010","168.570","187.980","167.230","802.37K","7.39%"
"08.04.2025","170.420","177.540","180.320","169.690","376.83K","-3.12%"
"07.04.2025","175.900","169.960","177.990","168.450","398.76K","1.05%"
"04.04.2025","174.080","191.100","191.100","170.010","582.67K","-10.67%"
"03.04.2025","194.870","194.260","201.000","194.110","351.60K","-0.77%"
"02.04.2025","196.380","193.310","197.590","192.470","407.19K","0.90%"
"01.04.2025","194.620","188.950","195.600","188.480","333.46K","3.58%"
"31.03.2025","187.900","189.760","192.510","185.010","398.07K","-1.78%"
"28.03.2025","191.300","195.320","195.980","189.540","204.83K","-2.17%"
"27.03.2025","195.550","195.130","197.410","193.350","208.12K","-0.30%"
"26.03.2025","196.130","197.180","198.990","194.470","210.39K","-0.25%"
"25.03.2025","196.630","196.290","197.800","192.800","374.40K","0.85%"
"24.03.2025","194.980","194.410","197.920","194.360","348.04K","0.79%"
"21.03.2025","193.450","194.140","195.760","192.240","1.03M","-1.42%"
"20.03.2025","196.240","196.000","196.800","194.930","264.06K","-0.09%"
"19.03.2025","196.420","194.480","198.210","194.480","437.97K","0.16%"
"18.03.2025","196.100","196.200","199.980","193.590","408.30K","0.71%"
"14.03.2025","194.720","190.460","195.960","190.160","297.37K","2.54%"
"13.03.2025","189.900","193.720","196.500","188.210","380.13K","-1.97%"
"12.03.2025","193.720","195.830","197.170","191.940","384.43K","-0.92%"
"11.03.2025","195.510","200.970","200.970","193.140","386.48K","-0.73%"
"10.03.2025","196.940","199.750","201.790","193.360","286.78K","-1.21%"
"07.03.2025","199.350","204.000","204.970","198.020","787.71K","-2.53%"
"06.03.2025","204.520","206.200","207.480","203.110","326.17K","-0.20%"
"05.03.2025","204.930","201.100","205.240","200.880","314.65K","2.15%"
"04.03.2025","200.610","198.360","203.000","190.110","332.82K","0.78%"
"03.03.2025","199.060","205.480","208.220","198.450","284.03K","-1.00%"
"28.02.2025","201.080","199.470","203.950","199.040","559.42K","0.30%"
"27.02.2025","200.480","205.730","206.000","199.030","488.27K","-2.53%"
"26.02.2025","205.690","210.640","212.800","204.500","482.42K","-1.76%"
"25.02.2025","209.380","212.780","220.000","206.090","337.78K","-1.15%"
"24.02.2025","211.810","213.600","216.530","210.170","376.23K","-1.34%"
"21.02.2025","214.680","220.890","220.890","212.890","685.63K","-2.32%"
"20.02.2025","219.780","219.000","223.500","218.330","514.21K","0.44%"
"19.02.2025","218.810","218.430","223.620","217.670","843.58K","0.17%"
"18.02.2025","218.430","216.920","220.920","216.920","387.72K","0.92%"
"17.02.2025","216.430","220.000","220.000","210.020","170.90K","-1.49%"
"14.02.2025","219.700","211.800","220.000","209.710","570.67K","3.73%"
"13.02.2025","211.810","207.500","213.970","204.140","975.06K","2.37%"
"12.02.2025","206.910","208.990","208.990","201.370","685.23K","1.48%"
"11.02.2025","203.900","205.570","208.450","203.260","982.59K","-0.01%"
"10.02.2025","203.930","209.040","209.040","202.020","524.06K","-1.96%"
"07.02.2025","208.000","201.340","208.970","201.180","264.74K","1.65%"
"06.02.2025","204.630","201.970","204.950","200.000","844.05K","0.91%"
"05.02.2025","202.790","202.450","206.960","201.360","627.12K","0.29%"
"04.02.2025","202.200","197.480","202.570","194.010","1.16M","5.01%"
"31.01.2025","192.560","187.350","197.490","186.500","346.78K","2.23%"
"30.01.2025","188.360","192.650","195.020","187.650","385.74K","-2.27%"
"29.01.2025","192.740","181.460","193.650","181.040","336.31K","5.80%"
"28.01.2025","182.180","181.010","183.190","178.510","213.47K","0.65%"
"27.01.2025","181.000","181.020","182.780","178.080","342.74K","-1.20%"
"24.01.2025","183.200","190.220","190.930","181.780","316.88K","-3.35%"
"23.01.2025","189.550","182.290","192.880","182.290","270.18K","2.92%"
"22.01.2025","184.180","182.150","185.000","181.520","622.05K","1.68%"
"21.01.2025","181.130","179.690","184.960","178.940","723.10K","1.03%"
"20.01.2025","179.280","176.980","179.500","176.980","66.64K","1.59%"
"17.01.2025","176.470","177.980","179.700","176.010","174.64K","-0.64%"
"16.01.2025","177.600","176.000","177.920","176.000","425.57K","0.02%"
"15.01.2025","177.560","177.240","178.500","177.000","912.91K","0.63%"
"14.01.2025","176.440","181.010","182.290","174.050","269.81K","-2.48%"
"13.01.2025","180.920","184.000","189.540","179.010","289.33K","-2.09%"
"10.01.2025","184.790","186.010","186.920","180.080","132.76K","-1.48%"
"09.01.2025","187.570","187.010","189.990","186.000","88.55K","-1.34%"
"08.01.2025","190.110","182.000","190.960","180.950","238.31K","3.97%"
"07.01.2025","182.850","181.490","186.400","181.490","238.45K","1.92%"
"06.01.2025","179.400","186.000","189.030","179.030","456.89K","-3.61%"
"03.01.2025","186.120","185.840","188.990","184.020","232.82K","-0.28%"
"02.01.2025","186.640","187.380","189.020","184.700","186.21K","0.10%"
"31.12.2024","186.450","180.020","187.010","180.020","209.21K","3.59%"
"30.12.2024","179.990","186.510","186.510","178.800","248.20K","-3.56%"
"27.12.2024","186.630","187.420","189.450","184.340","158.66K","-0.06%"
"26.12.2024","186.750","185.550","187.960","184.010","37.69K","1.21%"
"24.12.2024","184.520","186.880","187.080","184.010","31.83K","-1.00%"
"23.12.2024","186.380","183.830","187.620","182.100","204.24K","1.86%"
"20.12.2024","182.970","179.970","189.980","179.970","1.22M","1.37%"
"19.12.2024","180.490","183.240","186.100","179.590","372.42K","-2.08%"
"18.12.2024","184.330","187.490","192.400","183.720","232.77K","-0.58%"
"17.12.2024","185.410","188.980","190.970","184.060","414.51K","-2.12%"
"16.12.2024","189.430","188.500","193.780","188.500","338.07K","-0.69%"
"13.12.2024","190.750","184.670","193.430","184.410","309.96K","2.79%"
"11.12.2024","185.570","185.010","187.450","184.580","147.70K","-0.49%"
"10.12.2024","186.480","188.920","190.370","186.140","397.20K","-1.56%"
"09.12.2024","189.430","184.940","190.120","184.570","343.12K","3.56%"
"06.12.2024","182.910","189.490","190.000","182.230","435.22K","-3.78%"
"05.12.2024","190.090","184.740","191.830","182.610","1.20M","2.90%"
"04.12.2024","184.740","177.830","186.410","177.770","972.09K","4.41%"
"03.12.2024","176.940","181.980","181.980","175.480","851.09K","-2.42%"
"02.12.2024","181.320","181.000","182.250","177.860","569.41K","0.17%"
"29.11.2024","181.020","177.990","183.970","177.990","323.85K","2.76%"
"28.11.2024","176.150","174.390","176.980","172.630","80.33K","1.54%"
"27.11.2024","173.470","176.250","177.870","169.750","572.74K","-1.34%"
"26.11.2024","175.820","170.050","177.350","168.010","624.04K","2.99%"
"25.11.2024","170.720","175.920","178.470","170.060","946.49K","-1.89%"
"22.11.2024","174.010","178.830","179.150","172.930","449.59K","-0.94%"
"21.11.2024","175.660","176.950","178.930","175.130","241.63K","-0.79%"
"20.11.2024","177.060","172.850","179.410","172.260","626.89K","2.54%"
"19.11.2024","172.670","176.310","178.900","172.140","290.73K","-3.11%"
"15.11.2024","178.210","179.000","181.500","177.030","173.22K","-0.61%"
"14.11.2024","179.300","179.490","181.590","178.570","312.39K","-0.17%"
"13.11.2024","179.610","183.500","183.500","179.130","317.91K","-2.20%"
"12.11.2024","183.650","187.160","187.160","180.010","450.12K","-1.39%"
"11.11.2024","186.230","187.790","187.800","181.040","695.59K","-1.36%"
"08.11.2024","188.790","184.380","190.000","180.010","786.68K","2.34%"
"07.11.2024","184.470","178.280","187.490","177.770","1.27M","3.73%"
"06.11.2024","177.830","162.010","180.000","161.970","310.24K","7.05%"
"05.11.2024","166.120","165.720","167.940","162.590","488.95K","-0.37%"
"04.11.2024","166.740","162.800","167.970","161.950","207.30K","3.51%"
"01.11.2024","161.090","164.070","164.070","159.100","399.12K","-1.56%"
"31.10.2024","163.640","160.570","164.410","159.020","595.80K","2.35%"
"30.10.2024","159.890","160.000","160.850","159.150","221.08K","-0.04%"
"29.10.2024","159.950","162.990","163.990","158.070","274.39K","-2.82%"
"28.10.2024","164.590","165.280","166.800","163.950","368.89K","-0.82%"
"25.10.2024","165.950","160.610","166.770","160.610","797.78K","3.68%"
"24.10.2024","160.060","156.300","160.580","156.300","884.75K","2.45%"
"23.10.2024","156.230","151.250","159.840","149.020","962.07K","4.08%"
"22.10.2024","150.100","152.300","153.310","146.510","492.03K","-1.72%"
"21.10.2024","152.730","151.700","153.860","151.000","151.86K","0.10%"
"18.10.2024","152.580","150.770","153.800","149.640","174.76K","1.81%"
"17.10.2024","149.870","144.970","150.830","144.970","279.50K","3.00%"
"16.10.2024","145.510","147.290","147.290","144.340","522.60K","-0.79%"
"15.10.2024","146.670","148.680","148.680","143.720","467.03K","-1.39%"
"14.10.2024","148.730","150.810","150.840","148.300","91.96K","-1.25%"
"11.10.2024","150.620","152.030","152.490","149.130","201.16K","-1.76%"
"10.10.2024","153.320","153.950","156.800","152.680","862.37K","-0.81%"
"09.10.2024","154.570","152.650","156.190","152.650","381.58K","0.44%"
"08.10.2024","153.890","151.500","154.250","149.260","474.71K","1.52%"
"07.10.2024","151.580","150.500","153.300","149.550","301.03K","0.70%"
"04.10.2024","150.530","149.480","154.350","147.260","269.61K","1.28%"
"03.10.2024","148.630","145.420","149.350","144.650","238.38K","1.80%"
"02.10.2024","146.000","147.370","149.870","145.450","362.85K","-0.93%"
"30.09.2024","147.370","148.700","148.990","146.860","427.15K","-0.39%"
"27.09.2024","147.950","155.000","155.000","146.500","892.22K","-3.78%"
"26.09.2024","153.760","158.990","161.510","152.010","439.40K","-2.95%"
"25.09.2024","158.430","154.110","159.980","152.220","562.80K","3.31%"
"24.09.2024","153.350","152.610","155.000","149.910","588.97K","0.85%"
"23.09.2024","152.050","150.000","152.370","146.120","361.18K","2.66%"
"20.09.2024","148.110","151.550","151.550","146.920","1.46M","-1.35%"
"19.09.2024","150.140","149.280","152.040","146.090","414.06K","1.70%"
"18.09.2024","147.630","147.830","148.500","145.530","190.06K","0.02%"
"17.09.2024","147.600","150.980","150.980","146.420","396.10K","0.50%"
"13.09.2024","146.860","150.000","150.100","146.040","376.54K","-1.85%"
"12.09.2024","149.630","147.750","150.650","146.150","638.57K","1.28%"
"11.09.2024","147.740","145.470","148.230","143.890","805.34K","2.11%"
"10.09.2024","144.690","144.200","145.620","140.810","457.08K","0.17%"
"09.09.2024","144.440","146.800","146.800","143.460","367.56K","-1.12%"
"06.09.2024","146.070","144.200","147.270","141.670","560.46K","1.00%"
"05.09.2024","144.620","144.200","145.170","142.160","708.68K","0.32%"
"04.09.2024","144.160","149.370","150.480","143.720","453.42K","-2.98%"
"03.09.2024","148.590","150.000","152.220","147.340","641.87K","-2.19%"
"02.09.2024","151.910","149.850","153.000","149.680","71.23K","0.86%"
"30.08.2024","150.620","151.510","151.850","149.540","461.08K","-0.69%"
"29.08.2024","151.670","149.100","153.280","149.100","455.70K","0.30%"
"28.08.2024","151.210","152.760","152.760","149.030","354.57K","-0.45%"
"27.08.2024","151.890","152.740","153.710","151.450","618.39K","-0.09%"
"26.08.2024","152.020","154.370","154.370","149.970","379.27K","-1.09%"
"23.08.2024","153.700","151.040","154.970","149.670","553.89K","2.78%"
"22.08.2024","149.540","149.100","150.380","147.610","649.18K","0.27%"
"21.08.2024","149.130","152.230","152.570","148.780","549.01K","-2.38%"
"20.08.2024","152.770","155.720","156.500","150.700","571.06K","-2.10%"
"19.08.2024","156.040","158.620","158.620","155.430","140.12K","-1.13%"
"16.08.2024","157.830","158.620","158.620","155.150","275.96K","-1.07%"
"15.08.2024","159.530","158.960","160.000","155.140","361.47K","1.35%"
"14.08.2024","157.400","156.560","157.960","155.120","261.21K","-0.56%"
"13.08.2024","158.290","157.470","159.870","155.470","421.21K","1.41%"
"12.08.2024","156.090","156.220","158.510","155.510","262.24K","-2.81%"
"09.08.2024","160.610","160.550","161.420","158.140","310.68K","-0.34%"
"08.08.2024","161.150","155.000","161.500","154.240","610.21K","4.68%"
"07.08.2024","153.940","153.990","155.990","150.670","686.68K","0.23%"
"06.08.2024","153.580","155.830","156.810","152.530","570.83K","-0.99%"
"05.08.2024","155.110","155.940","156.920","153.690","477.92K","-1.21%"
"02.08.2024","157.010","158.150","158.150","153.310","592.97K","-0.68%"
"01.08.2024","158.080","158.500","160.000","155.860","966.64K","-0.07%"
"31.07.2024","158.190","158.490","159.080","155.010","227.57K","1.20%"
"30.07.2024","156.320","156.400","158.230","154.560","522.73K","0.51%"
"29.07.2024","155.520","155.920","156.150","153.020","560.47K","0.21%"
"26.07.2024","155.200","155.980","157.470","154.280","1.29M","-0.24%"
"25.07.2024","155.570","157.000","157.590","154.510","768.96K","-0.96%"
"24.07.2024","157.080","158.170","158.170","156.060","282.78K","-0.23%"
"23.07.2024","157.440","157.380","159.100","156.030","442.53K","-0.52%"
"22.07.2024","158.270","158.230","158.990","155.940","1.24M","1.16%"
"19.07.2024","156.450","155.100","157.640","153.420","185.99K","0.79%"
"18.07.2024","155.220","156.000","159.000","154.510","723.23K","-1.03%"
"17.07.2024","156.830","156.600","160.190","155.000","709.36K","-1.20%"
"16.07.2024","158.740","161.860","163.690","156.700","1.85M","-1.73%"
"15.07.2024","161.540","164.010","165.100","160.870","306.44K","-1.89%"
"12.07.2024","164.660","164.250","165.770","163.470","349.32K","1.06%"
"11.07.2024","162.930","167.260","168.050","162.590","894.02K","-2.65%"
"10.07.2024","167.360","169.570","170.000","165.330","340.66K","-0.33%"
"09.07.2024","167.920","169.790","171.830","166.660","341.06K","-1.43%"
"08.07.2024","170.360","167.380","171.480","166.620","405.70K","2.38%"
